Version;1
Sampling cycle;200us
Out count;1
Data count;89421
First index;995806

;OUT02
Display unit;0,001um
Upper limit;500,000um
Lower limit;-500,000um

Trigger count;OUT02(um);
996117;2,750;GO
996118;2,750;GO
996119;2,750;GO
996120;2,750;GO
996121;2,750;GO
996122;2,750;GO
996123;2,750;GO
996124;2,750;GO
996125;2,750;GO
996126;2,750;GO
996127;2,750;GO
996128;2,750;GO
996129;2,750;GO
996130;2,750;GO
996131;2,750;GO
996132;2,750;GO
996133;2,750;GO
996134;2,750;GO
996135;2,750;GO
996136;2,750;GO
996137;2,750;GO
996138;2,750;GO
996139;2,750;GO
996140;2,750;GO
996141;2,750;GO
996142;2,750;GO
996143;2,750;GO
996144;2,750;GO
996145;2,750;GO
996146;2,750;GO
996147;2,750;GO
996148;2,750;GO
996149;2,750;GO
996150;2,750;GO
996151;2,750;GO
996152;2,750;GO
996153;2,750;GO
996154;2,750;GO
996155;2,750;GO
996156;2,750;GO
996157;2,750;GO
996158;2,750;GO
996159;2,750;GO
996160;2,750;GO
996161;2,750;GO
996162;2,750;GO
996163;2,750;GO
996164;2,750;GO
996165;2,750;GO
996166;2,750;GO
996167;2,750;GO
996168;2,750;GO
996169;2,750;GO
996170;2,750;GO
996171;2,750;GO
996172;2,750;GO
996173;2,750;GO
996174;2,750;GO
996175;2,750;GO
996176;2,750;GO
996177;2,750;GO
996178;2,750;GO
996179;2,750;GO
996180;2,750;GO
996181;2,750;GO
996182;2,750;GO
996183;2,750;GO
996184;2,750;GO
996185;2,750;GO
996186;2,750;GO
996187;2,750;GO
996188;2,750;GO
996189;2,750;GO
996190;2,750;GO
996191;2,750;GO
996192;2,750;GO
996193;2,750;GO
996194;2,750;GO
996195;2,750;GO
996196;2,750;GO
996197;2,750;GO
996198;2,750;GO
996199;2,750;GO
996200;2,750;GO
996201;2,750;GO
996202;2,750;GO
996203;2,750;GO
996204;2,750;GO
996205;2,750;GO
996206;2,750;GO
996207;2,750;GO
996208;2,750;GO
996209;2,750;GO
996210;2,750;GO
996211;2,750;GO
996212;2,750;GO
996213;2,750;GO
996214;2,750;GO
996215;2,750;GO
996216;2,750;GO
996217;2,750;GO
996218;2,750;GO
996219;2,750;GO
996220;2,750;GO
996221;2,750;GO
996222;2,750;GO
996223;2,750;GO
996224;2,750;GO
996225;2,750;GO
996226;2,750;GO
996227;2,750;GO
996228;2,750;GO
996229;2,750;GO
996230;2,750;GO
996231;2,750;GO
996232;2,750;GO
996233;2,750;GO
996234;2,750;GO
996235;2,750;GO
996236;2,750;GO
996237;2,750;GO
996238;2,750;GO
996239;2,750;GO
996240;2,750;GO
996241;2,750;GO
996242;2,750;GO
996243;2,750;GO
996244;2,750;GO
996245;2,750;GO
996246;2,750;GO
996247;2,750;GO
996248;2,750;GO
996249;2,750;GO
996250;2,750;GO
996251;2,750;GO
996252;2,500;GO
996253;2,500;GO
996254;2,500;GO
996255;2,500;GO
996256;2,500;GO
996257;2,500;GO
996258;2,500;GO
996259;2,500;GO
996260;2,500;GO
996261;2,500;GO
996262;2,500;GO
996263;2,500;GO
996264;2,500;GO
996265;2,500;GO
996266;2,500;GO
996267;2,500;GO
996268;2,500;GO
996269;2,500;GO
996270;2,500;GO
996271;2,500;GO
996272;2,500;GO
996273;2,500;GO
996274;2,500;GO
996275;2,500;GO
996276;2,500;GO
996277;2,500;GO
996278;2,500;GO
996279;2,500;GO
996280;2,500;GO
996281;2,500;GO
996282;2,500;GO
996283;2,500;GO
996284;2,500;GO
996285;2,500;GO
996286;2,500;GO
996287;2,500;GO
996288;2,500;GO
996289;2,500;GO
996290;2,500;GO
996291;2,500;GO
996292;2,500;GO
996293;2,500;GO
996294;2,500;GO
996295;2,500;GO
996296;2,500;GO
996297;2,500;GO
996298;2,500;GO
996299;2,500;GO
996300;2,500;GO
996301;2,500;GO
996302;2,500;GO
996303;2,500;GO
996304;2,500;GO
996305;2,500;GO
996306;2,500;GO
996307;2,500;GO
996308;2,500;GO
996309;2,500;GO
996310;2,500;GO
996311;2,500;GO
996312;2,500;GO
996313;2,500;GO
996314;2,500;GO
996315;2,500;GO
996316;2,500;GO
996317;2,500;GO
996318;2,500;GO
996319;2,500;GO
996320;2,500;GO
996321;2,500;GO
996322;2,500;GO
996323;2,500;GO
996324;2,500;GO
996325;2,500;GO
996326;2,500;GO
996327;2,500;GO
996328;2,500;GO
996329;2,500;GO
996330;2,500;GO
996331;2,500;GO
996332;2,500;GO
996333;2,500;GO
996334;2,500;GO
996335;2,500;GO
996336;2,500;GO
996337;2,500;GO
996338;2,500;GO
996339;2,500;GO
996340;2,500;GO
996341;2,500;GO
996342;2,500;GO
996343;2,500;GO
996344;2,500;GO
996345;2,500;GO
996346;2,500;GO
996347;2,500;GO
996348;2,500;GO
996349;2,500;GO
996350;2,500;GO
996351;2,500;GO
996352;2,500;GO
996353;2,500;GO
996354;2,500;GO
996355;2,500;GO
996356;2,500;GO
996357;2,500;GO
996358;2,500;GO
996359;2,500;GO
996360;2,500;GO
996361;2,500;GO
996362;2,500;GO
996363;2,500;GO
996364;2,500;GO
996365;2,500;GO
996366;2,500;GO
996367;2,500;GO
996368;2,500;GO
996369;2,500;GO
