Version;1
Sampling cycle;200us
Out count;1
Data count;92405
First index;553003

;OUT02
Display unit;0,001um
Upper limit;500,000um
Lower limit;-500,000um

Trigger count;OUT02(um);
553003;4,250;GO
553004;4,250;GO
553005;4,250;GO
553006;4,250;GO
553007;4,250;GO
553008;4,250;GO
553009;4,250;GO
553010;4,250;GO
553011;4,250;GO
553012;4,250;GO
553013;4,250;GO
553014;4,250;GO
553015;4,250;GO
553016;4,250;GO
553017;4,250;GO
553018;4,250;GO
553019;4,250;GO
553020;4,250;GO
553021;4,250;GO
553022;4,250;GO
553023;4,250;GO
553024;4,250;GO
553025;4,250;GO
553026;4,250;GO
553027;4,250;GO
553028;4,250;GO
553029;4,250;GO
553030;4,250;GO
553031;4,250;GO
553032;4,250;GO
553033;4,250;GO
553034;4,250;GO
553035;4,250;GO
553036;4,250;GO
553037;4,250;GO
553038;4,250;GO
553039;4,250;GO
553040;4,250;GO
553041;4,250;GO
553042;4,250;GO
553043;4,250;GO
553044;4,250;GO
553045;4,250;GO
553046;4,250;GO
553047;4,250;GO
553048;4,250;GO
553049;4,250;GO
553050;4,250;GO
553051;4,250;GO
553052;4,250;GO
553053;4,250;GO
553054;4,250;GO
553055;4,250;GO
553056;4,250;GO
553057;4,250;GO
553058;4,250;GO
553059;4,250;GO
553060;4,250;GO
553061;4,250;GO
553062;4,250;GO
553063;4,250;GO
553064;4,250;GO
553065;4,250;GO
553066;4,250;GO
553067;4,250;GO
553068;4,250;GO
553069;4,250;GO
553070;4,250;GO
553071;4,250;GO
553072;4,250;GO
553073;4,250;GO
553074;4,250;GO
553075;4,250;GO
553076;4,250;GO
553077;4,250;GO
553078;4,250;GO
553079;4,250;GO
553080;4,250;GO
553081;4,250;GO
553082;4,250;GO
553083;4,250;GO
553084;4,250;GO
553085;4,250;GO
553086;4,250;GO
553087;4,250;GO
553088;4,250;GO
553089;4,250;GO
553090;4,250;GO
553091;4,250;GO
553092;4,250;GO
553093;4,250;GO
553094;4,000;GO
553095;4,000;GO
553096;4,000;GO
553097;4,000;GO
553098;4,000;GO
553099;4,000;GO
553100;4,000;GO
553101;4,000;GO
553102;4,000;GO
553103;4,000;GO
553104;4,000;GO
553105;4,000;GO
553106;4,000;GO
553107;4,000;GO
553108;4,000;GO
553109;4,000;GO
553110;4,000;GO
553111;4,000;GO
553112;4,000;GO
553113;4,000;GO
553114;4,000;GO
553115;4,000;GO
553116;4,000;GO
553117;4,000;GO
553118;4,000;GO
553119;4,000;GO
553120;4,000;GO
553121;4,000;GO
553122;4,000;GO
553123;4,000;GO
553124;4,000;GO
553125;4,000;GO
553126;4,000;GO
553127;4,000;GO
553128;4,000;GO
553129;4,000;GO
553130;4,000;GO
553131;4,000;GO
553132;4,000;GO
553133;4,000;GO
553134;4,000;GO
553135;4,000;GO
553136;4,000;GO
553137;4,000;GO
553138;4,000;GO
553139;4,000;GO
553140;4,000;GO
553141;4,000;GO
553142;4,000;GO
553143;4,000;GO
553144;4,000;GO
553145;4,000;GO
553146;4,000;GO
553147;4,000;GO
553148;4,000;GO
553149;4,000;GO
553150;4,000;GO
553151;4,000;GO
553152;4,000;GO
553153;4,000;GO
553154;4,000;GO
553155;4,000;GO
553156;4,000;GO
553157;4,000;GO
553158;4,000;GO
553159;4,000;GO
553160;4,000;GO
553161;4,000;GO
553162;4,000;GO
553163;4,000;GO
553164;4,000;GO
553165;4,000;GO
553166;4,000;GO
553167;4,000;GO
553168;4,000;GO
553169;4,000;GO
553170;4,000;GO
553171;4,000;GO
553172;4,000;GO
