Version;1
Sampling cycle;200us
Out count;1
Data count;89894
First index;106402

;OUT02
Display unit;0,001um
Upper limit;500,000um
Lower limit;-500,000um

Trigger count;OUT02(um);
106402;0,500;GO
106403;0,500;GO
106404;0,500;GO
106405;0,500;GO
106406;0,500;GO
106407;0,500;GO
106408;0,500;GO
106409;0,500;GO
106410;0,500;GO
106411;0,500;GO
106412;0,500;GO
106413;0,500;GO
106414;0,500;GO
106415;0,500;GO
106416;0,500;GO
106417;0,500;GO
106418;0,500;GO
106419;0,500;GO
106420;0,500;GO
106421;0,500;GO
106422;0,500;GO
106423;0,250;GO
106424;0,250;GO
106425;0,250;GO
106426;0,250;GO
106427;0,250;GO
106428;0,250;GO
106429;0,250;GO
106430;0,250;GO
106431;0,250;GO
106432;0,250;GO
106433;0,250;GO
106434;0,250;GO
106435;0,250;GO
106436;0,250;GO
106437;0,250;GO
106438;0,250;GO
106439;0,250;GO
106440;0,250;GO
106441;0,250;GO
106442;0,250;GO
106443;0,250;GO
106444;0,250;GO
106445;0,250;GO
106446;0,250;GO
106447;0,250;GO
106448;0,250;GO
106449;0,250;GO
106450;0,250;GO
106451;0,250;GO
106452;0,250;GO
106453;0,250;GO
106454;0,250;GO
106455;0,250;GO
106456;0,250;GO
106457;0,250;GO
106458;0,250;GO
106459;0,250;GO
106460;0,250;GO
106461;0,250;GO
106462;0,250;GO
106463;0,250;GO
106464;0,250;GO
106465;0,250;GO
106466;0,250;GO
106467;0,250;GO
106468;0,250;GO
106469;0,250;GO
106470;0,250;GO
106471;0,250;GO
106472;0,250;GO
106473;0,250;GO
106474;0,250;GO
106475;0,250;GO
106476;0,250;GO
106477;0,250;GO
106478;0,250;GO
106479;0,250;GO
106480;0,250;GO
106481;0,250;GO
106482;0,250;GO
106483;0,250;GO
106484;0,250;GO
106485;0,250;GO
106486;0,250;GO
106487;0,250;GO
106488;0,250;GO
106489;0,250;GO
106490;0,250;GO
106491;0,250;GO
106492;0,250;GO
106493;0,250;GO
106494;0,250;GO
106495;0,250;GO
106496;0,250;GO
106497;0,250;GO
106498;0,250;GO
106499;0,250;GO
106500;0,250;GO
106501;0,250;GO
106502;0,250;GO
106503;0,250;GO
106504;0,250;GO
106505;0,250;GO
106506;0,250;GO
106507;0,250;GO
106508;0,250;GO
106509;0,250;GO
106510;0,250;GO
106511;0,250;GO
106512;0,250;GO
106513;0,250;GO
106514;0,250;GO
106515;0,250;GO
106516;0,250;GO
106517;0,250;GO
106518;0,250;GO
106519;0,250;GO
106520;0,250;GO
