Version;1
Sampling cycle;200us
Out count;1
Data count;91022
First index;7039886

;OUT02
Display unit;0,001um
Upper limit;500,000um
Lower limit;-500,000um

Trigger count;OUT02(um);
7039886;3,250;GO
7039887;3,250;GO
7039888;3,250;GO
7039889;3,250;GO
7039890;3,250;GO
7039891;3,250;GO
7039892;3,250;GO
7039893;3,250;GO
7039894;3,250;GO
7039895;3,250;GO
7039896;3,250;GO
7039897;3,250;GO
7039898;3,250;GO
7039899;3,250;GO
7039900;3,250;GO
7039901;3,250;GO
7039902;3,250;GO
7039903;3,250;GO
7039904;3,250;GO
7039905;3,250;GO
7039906;3,250;GO
7039907;3,250;GO
7039908;3,250;GO
7039909;3,250;GO
7039910;3,250;GO
7039911;3,250;GO
7039912;3,250;GO
7039913;3,250;GO
7039914;3,250;GO
7039915;3,250;GO
7039916;3,250;GO
7039917;3,250;GO
7039918;3,250;GO
7039919;3,250;GO
7039920;3,250;GO
7039921;3,250;GO
7039922;3,250;GO
7039923;3,250;GO
7039924;3,250;GO
7039925;3,250;GO
7039926;3,250;GO
7039927;3,250;GO
7039928;3,250;GO
7039929;3,250;GO
7039930;3,250;GO
7039931;3,250;GO
7039932;3,250;GO
7039933;3,250;GO
7039934;3,250;GO
7039935;3,250;GO
7039936;3,250;GO
7039937;3,250;GO
7039938;3,250;GO
7039939;3,250;GO
7039940;3,250;GO
7039941;3,250;GO
7039942;3,250;GO
7039943;3,250;GO
7039944;3,250;GO
7039945;3,250;GO
7039946;3,250;GO
7039947;3,250;GO
7039948;3,250;GO
7039949;3,250;GO
7039950;3,250;GO
7039951;3,250;GO
7039952;3,250;GO
7039953;3,250;GO
7039954;3,250;GO
7039955;3,250;GO
7039956;3,250;GO
7039957;3,250;GO
7039958;3,250;GO
7039959;3,250;GO
7039960;3,250;GO
7039961;3,250;GO
7039962;3,250;GO
7039963;3,250;GO
7039964;3,250;GO
7039965;3,250;GO
7039966;3,250;GO
7039967;3,250;GO
7039968;3,250;GO
7039969;3,250;GO
7039970;3,250;GO
7039971;3,250;GO
7039972;3,250;GO
7039973;3,250;GO
7039974;3,250;GO
7039975;3,250;GO
7039976;3,250;GO
7039977;3,250;GO
7039978;3,250;GO
7039979;3,250;GO
7039980;3,250;GO
7039981;3,250;GO
7039982;3,250;GO
7039983;3,250;GO
7039984;3,250;GO
7039985;3,250;GO
7039986;3,250;GO
7039987;3,250;GO
7039988;3,250;GO
7039989;3,250;GO
7039990;3,250;GO
7039991;3,250;GO
7039992;3,250;GO
7039993;3,250;GO
7039994;3,250;GO
7039995;3,250;GO
7039996;3,250;GO
7039997;3,250;GO
7039998;3,250;GO
7039999;3,250;GO
7040000;3,250;GO
7040001;3,250;GO
7040002;3,250;GO
7040003;3,250;GO
7040004;3,250;GO
7040005;3,250;GO
7040006;3,250;GO
7040007;3,250;GO
7040008;3,250;GO
7040009;3,250;GO
7040010;3,250;GO
7040011;3,250;GO
7040012;3,250;GO
7040013;3,250;GO
7040014;3,250;GO
7040015;3,250;GO
7040016;3,250;GO
7040017;3,250;GO
7040018;3,250;GO
7040019;3,250;GO
7040020;3,250;GO
7040021;3,250;GO
7040022;3,250;GO
7040023;3,250;GO
7040024;3,250;GO
7040025;3,250;GO
7040026;3,250;GO
7040027;3,250;GO
7040028;3,250;GO
7040029;3,250;GO
7040030;3,250;GO
7040031;3,250;GO
7040032;3,250;GO
7040033;3,250;GO
7040034;3,250;GO
7040035;3,250;GO
7040036;3,250;GO
7040037;3,250;GO
7040038;3,250;GO
7040039;3,250;GO
7040040;3,250;GO
7040041;3,250;GO
7040042;3,250;GO
7040043;3,250;GO
7040044;3,250;GO
7040045;3,250;GO
7040046;3,250;GO
7040047;3,250;GO
7040048;3,250;GO
7040049;3,250;GO
7040050;3,250;GO
7040051;3,250;GO
7040052;3,250;GO
7040053;3,250;GO
7040054;3,250;GO
7040055;3,250;GO
7040056;3,250;GO
7040057;3,250;GO
7040058;3,250;GO
7040059;3,250;GO
7040060;3,250;GO
7040061;3,250;GO
7040062;3,250;GO
7040063;3,250;GO
7040064;3,250;GO
7040065;3,250;GO
7040066;3,250;GO
7040067;3,250;GO
