Version;1
Sampling cycle;200us
Out count;1
Data count;91504
First index;748728

;OUT02
Display unit;0,001um
Upper limit;500,000um
Lower limit;-500,000um

Trigger count;OUT02(um);
748728;2,250;GO
748729;2,250;GO
748730;2,250;GO
748731;2,250;GO
748732;2,250;GO
748733;2,250;GO
748734;2,250;GO
748735;2,250;GO
748736;2,250;GO
748737;2,250;GO
748738;2,250;GO
748739;2,250;GO
748740;2,250;GO
748741;2,250;GO
748742;2,250;GO
748743;2,250;GO
748744;2,250;GO
748745;2,250;GO
748746;2,250;GO
748747;2,250;GO
748748;2,250;GO
748749;2,250;GO
748750;2,250;GO
748751;2,250;GO
748752;2,250;GO
748753;2,250;GO
748754;2,250;GO
748755;2,250;GO
748756;2,250;GO
748757;2,250;GO
748758;2,250;GO
748759;2,250;GO
748760;2,250;GO
748761;2,250;GO
748762;2,250;GO
748763;2,250;GO
748764;2,250;GO
748765;2,250;GO
748766;2,250;GO
748767;2,250;GO
748768;2,250;GO
748769;2,250;GO
748770;2,250;GO
748771;2,250;GO
748772;2,250;GO
748773;2,250;GO
748774;2,250;GO
748775;2,250;GO
748776;2,250;GO
748777;2,250;GO
748778;2,250;GO
748779;2,250;GO
748780;2,250;GO
748781;2,250;GO
748782;2,250;GO
748783;2,250;GO
748784;2,250;GO
748785;2,250;GO
748786;2,250;GO
748787;2,250;GO
748788;2,250;GO
748789;2,250;GO
748790;2,250;GO
748791;2,250;GO
748792;2,250;GO
748793;2,250;GO
748794;2,250;GO
748795;2,250;GO
748796;2,250;GO
748797;2,250;GO
748798;2,250;GO
748799;2,250;GO
748800;2,250;GO
748801;2,250;GO
748802;2,250;GO
748803;2,250;GO
748804;2,250;GO
748805;2,250;GO
748806;2,250;GO
748807;2,250;GO
748808;2,250;GO
748809;2,250;GO
748810;2,250;GO
748811;2,250;GO
748812;2,250;GO
748813;2,250;GO
748814;2,250;GO
748815;2,250;GO
748816;2,250;GO
748817;2,250;GO
748818;2,250;GO
748819;2,250;GO
748820;2,250;GO
748821;2,250;GO
748822;2,250;GO
748823;2,250;GO
748824;2,250;GO
748825;2,250;GO
748826;2,250;GO
748827;2,250;GO
748828;2,250;GO
748829;2,250;GO
748830;2,250;GO
748831;2,250;GO
748832;2,250;GO
748833;2,250;GO
748834;2,250;GO
748835;2,250;GO
748836;2,250;GO
748837;2,250;GO
748838;2,250;GO
748839;2,250;GO
748840;2,250;GO
748841;2,250;GO
748842;2,250;GO
748843;2,250;GO
748844;2,250;GO
748845;2,250;GO
748846;2,250;GO
748847;2,250;GO
748848;2,250;GO
748849;2,250;GO
748850;2,250;GO
748851;2,250;GO
748852;2,250;GO
748853;2,250;GO
748854;2,250;GO
748855;2,250;GO
748856;2,250;GO
748857;2,250;GO
748858;2,250;GO
748859;2,250;GO
748860;2,250;GO
748861;2,250;GO
748862;2,250;GO
748863;2,250;GO
748864;2,250;GO
748865;2,250;GO
748866;2,250;GO
748867;2,250;GO
748868;2,250;GO
748869;2,250;GO
748870;2,250;GO
748871;2,250;GO
748872;2,250;GO
748873;2,250;GO
748874;2,250;GO
748875;2,250;GO
748876;2,250;GO
748877;2,250;GO
748878;2,250;GO
748879;2,250;GO
748880;2,250;GO
748881;2,250;GO
748882;2,250;GO
748883;2,250;GO
748884;2,250;GO
748885;2,250;GO
748886;2,250;GO
748887;2,250;GO
748888;2,250;GO
748889;2,250;GO
748890;2,250;GO
748891;2,250;GO
748892;2,250;GO
748893;2,250;GO
748894;2,250;GO
748895;2,250;GO
748896;2,250;GO
748897;2,250;GO
748898;2,250;GO
748899;2,250;GO
748900;2,250;GO
748901;2,250;GO
748902;2,250;GO
748903;2,250;GO
748904;2,250;GO
748905;2,250;GO
748906;2,250;GO
748907;2,250;GO
748908;2,250;GO
748909;2,250;GO
748910;2,250;GO
748911;2,250;GO
748912;2,250;GO
748913;2,250;GO
748914;2,250;GO
748915;2,250;GO
748916;2,250;GO
748917;2,250;GO
748918;2,250;GO
748919;2,250;GO
748920;2,250;GO
748921;2,250;GO
748922;2,250;GO
748923;2,250;GO
748924;2,250;GO
748925;2,250;GO
748926;2,250;GO
748927;2,250;GO
748928;2,250;GO
748929;2,250;GO
748930;2,250;GO
748931;2,250;GO
748932;2,250;GO
748933;2,250;GO
748934;2,250;GO
748935;2,250;GO
748936;2,250;GO
748937;2,250;GO
748938;2,250;GO
748939;2,250;GO
748940;2,250;GO
748941;2,250;GO
748942;2,250;GO
748943;2,250;GO
748944;2,250;GO
748945;2,250;GO
748946;2,250;GO
748947;2,250;GO
748948;2,250;GO
748949;2,250;GO
748950;2,250;GO
748951;2,250;GO
748952;2,250;GO
748953;2,250;GO
748954;2,250;GO
748955;2,250;GO
748956;2,250;GO
748957;2,250;GO
748958;2,250;GO
748959;2,250;GO
748960;2,250;GO
748961;2,250;GO
748962;2,250;GO
748963;2,250;GO
748964;2,250;GO
748965;2,250;GO
748966;2,250;GO
748967;2,250;GO
748968;2,250;GO
748969;2,250;GO
748970;2,250;GO
748971;2,250;GO
748972;2,250;GO
748973;2,250;GO
748974;2,250;GO
748975;2,250;GO
748976;2,250;GO
748977;2,250;GO
748978;2,250;GO
748979;2,250;GO
748980;2,250;GO
748981;2,250;GO
748982;2,250;GO
748983;2,250;GO
748984;2,250;GO
748985;2,250;GO
748986;2,250;GO
748987;2,250;GO
748988;2,250;GO
748989;2,250;GO
748990;2,250;GO
748991;2,250;GO
748992;2,250;GO
748993;2,250;GO
748994;2,250;GO
748995;2,250;GO
748996;2,250;GO
748997;2,250;GO
748998;2,250;GO
748999;2,250;GO
749000;2,250;GO
749001;2,250;GO
749002;2,250;GO
749003;2,250;GO
749004;2,250;GO
749005;2,250;GO
749006;2,250;GO
749007;2,250;GO
749008;2,250;GO
749009;2,250;GO
749010;2,250;GO
749011;2,250;GO
749012;2,250;GO
749013;2,250;GO
749014;2,250;GO
749015;2,250;GO
749016;2,250;GO
749017;2,250;GO
749018;2,250;GO
749019;2,250;GO
749020;2,250;GO
749021;2,250;GO
749022;2,250;GO
749023;2,250;GO
749024;2,250;GO
749025;2,250;GO
749026;2,250;GO
749027;2,250;GO
749028;2,250;GO
749029;2,250;GO
749030;2,250;GO
749031;2,250;GO
749032;2,250;GO
749033;2,250;GO
749034;2,250;GO
749035;2,250;GO
749036;2,250;GO
749037;2,250;GO
749038;2,250;GO
749039;2,250;GO
749040;2,250;GO
749041;2,250;GO
749042;2,250;GO
749043;2,250;GO
749044;2,250;GO
749045;2,250;GO
749046;2,250;GO
749047;2,250;GO
749048;2,250;GO
749049;2,250;GO
749050;2,250;GO
749051;2,250;GO
749052;2,250;GO
749053;2,250;GO
749054;2,250;GO
749055;2,250;GO
749056;2,250;GO
749057;2,250;GO
749058;2,250;GO
749059;2,250;GO
749060;2,250;GO
749061;2,250;GO
749062;2,250;GO
749063;2,250;GO
749064;2,250;GO
749065;2,250;GO
749066;2,250;GO
749067;2,250;GO
749068;2,250;GO
749069;2,250;GO
749070;2,250;GO
749071;2,250;GO
749072;2,250;GO
749073;2,250;GO
749074;2,250;GO
749075;2,250;GO
749076;2,250;GO
749077;2,250;GO
749078;2,250;GO
749079;2,250;GO
749080;2,250;GO
749081;2,250;GO
749082;2,250;GO
749083;2,250;GO
749084;2,250;GO
749085;2,250;GO
749086;2,250;GO
749087;2,250;GO
749088;2,250;GO
749089;2,250;GO
749090;2,250;GO
749091;2,250;GO
749092;2,250;GO
749093;2,250;GO
749094;2,250;GO
749095;2,250;GO
749096;2,250;GO
749097;2,250;GO
749098;2,250;GO
749099;2,250;GO
749100;2,250;GO
749101;2,250;GO
749102;2,250;GO
749103;2,250;GO
749104;2,250;GO
749105;2,250;GO
749106;2,250;GO
749107;2,250;GO
749108;2,250;GO
749109;2,250;GO
749110;2,250;GO
749111;2,250;GO
749112;2,250;GO
749113;2,250;GO
749114;2,250;GO
749115;2,250;GO
749116;2,250;GO
749117;2,250;GO
749118;2,250;GO
749119;2,250;GO
749120;2,250;GO
749121;2,250;GO
749122;2,250;GO
749123;2,250;GO
749124;2,250;GO
749125;2,250;GO
749126;2,250;GO
749127;2,250;GO
749128;2,250;GO
749129;2,250;GO
749130;2,250;GO
749131;2,250;GO
749132;2,250;GO
749133;2,250;GO
749134;2,250;GO
749135;2,250;GO
749136;2,250;GO
749137;2,250;GO
749138;2,250;GO
749139;2,250;GO
749140;2,250;GO
749141;2,250;GO
749142;2,250;GO
749143;2,250;GO
749144;2,250;GO
749145;2,250;GO
749146;2,250;GO
749147;2,250;GO
749148;2,250;GO
749149;2,250;GO
749150;2,250;GO
749151;2,250;GO
749152;2,250;GO
749153;2,250;GO
749154;2,250;GO
749155;2,250;GO
749156;2,250;GO
749157;2,250;GO
749158;2,250;GO
749159;2,250;GO
749160;2,250;GO
749161;2,250;GO
749162;2,250;GO
749163;2,250;GO
749164;2,250;GO
749165;2,250;GO
749166;2,250;GO
749167;2,250;GO
749168;2,250;GO
749169;2,250;GO
749170;2,250;GO
749171;2,250;GO
749172;2,250;GO
749173;2,250;GO
749174;2,250;GO
749175;2,250;GO
749176;2,250;GO
749177;2,250;GO
749178;2,250;GO
749179;2,250;GO
749180;2,250;GO
749181;2,250;GO
749182;2,250;GO
749183;2,250;GO
749184;2,250;GO
749185;2,250;GO
749186;2,250;GO
749187;2,250;GO
749188;2,250;GO
749189;2,250;GO
749190;2,250;GO
749191;2,250;GO
749192;2,250;GO
749193;2,250;GO
